Image Path,True Label,Predicted Label,Is Correct,Confidence,Error Message
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\0.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9756,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\1.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9985,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\10.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9996,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\11.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9992,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\12.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9991,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\13.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\14.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\15.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\16.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9994,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\17.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\18.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9994,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\19.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9996,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\2.jpg,A_LH_FanLeft,,False,,Không detect được hand
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\20.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\21.jpg,A_LH_FanLeft,Light1On,False,0.9902,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\22.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\23.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\24.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\25.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\26.jpg,A_LH_FanLeft,LH_FanLeft,True,1.0000,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\27.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\28.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\29.jpg,A_LH_FanLeft,,False,,Không detect được hand
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\3.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\30.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9997,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\31.jpg,A_LH_FanLeft,LH_FanLeft,True,1.0000,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\32.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\33.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\34.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\35.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\36.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\37.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\38.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\39.jpg,A_LH_FanLeft,,False,,Không detect được hand
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\4.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9989,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\40.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\41.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\42.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9999,
D:\DaiHoc\XuLyAnhSo\Nhom17_DoAnXuLyAnhSo_HCMUTE\labels\A_LH_FanLeft\43.jpg,A_LH_FanLeft,LH_FanLeft,True,0.9998,
